Area,Year,Value_Tonnes
Afghanistan,2010,59850
Afghanistan,2011,62041
Afghanistan,2012,70000
Afghanistan,2013,78597
Afghanistan,2014,89403
Afghanistan,2015,89733
Afghanistan,2016,140903
Afghanistan,2017,170443
Afghanistan,2018,217192
Afghanistan,2019,250324
Afghanistan,2020,270857
Albania,2010,54604
Albania,2011,64000
Albania,2012,71300
Albania,2013,75730
Albania,2014,82060
Albania,2015,91736
Albania,2016,101532
Albania,2017,96338
Albania,2018,108375
Albania,2019,105933
Albania,2020,102167
Algeria,2010,378637
Algeria,2011,404105
Algeria,2012,397529
Algeria,2013,455937
Algeria,2014,462815
Algeria,2015,451472
Algeria,2016,500855
Algeria,2017,494239
Algeria,2018,487808
Algeria,2019,558830
Algeria,2020,566824
Argentina,2010,720000
Argentina,2011,1150000
Argentina,2012,1050000
Argentina,2013,970000
Argentina,2014,711052
Argentina,2015,693275
Argentina,2016,458908
Argentina,2017,458908
Argentina,2018,510478
Argentina,2019,537640
Argentina,2020,535797
Armenia,2010,56487
Armenia,2011,77602
Armenia,2012,110289
Armenia,2013,111946
Armenia,2014,132627
Armenia,2015,126995
Armenia,2016,62574
Armenia,2017,116051
Armenia,2018,109939
Armenia,2019,81674
Armenia,2020,84676
Australia,2010,264401
Australia,2011,299778
Australia,2012,289064
Australia,2013,288878
Australia,2014,266771
Australia,2015,295196
Australia,2016,308298
Australia,2017,313730
Australia,2018,268355
Australia,2019,265150
Australia,2020,262966
Austria,2010,270805
Austria,2011,302810
Austria,2012,262108
Austria,2013,234585
Austria,2014,310339
Austria,2015,287599
Austria,2016,101667
Austria,2017,185244
Austria,2018,387950
Austria,2019,239210
Austria,2020,258220
Azerbaijan,2010,211665
Azerbaijan,2011,223067
Azerbaijan,2012,234771
Azerbaijan,2013,246685
Azerbaijan,2014,252327
Azerbaijan,2015,256398
Azerbaijan,2016,254296
Azerbaijan,2017,275093
Azerbaijan,2018,277158
Azerbaijan,2019,292736
Azerbaijan,2020,301411
Belarus,2010,525552
Belarus,2011,190829
Belarus,2012,511471
Belarus,2013,311495
Belarus,2014,512641
Belarus,2015,354817
Belarus,2016,508816
Belarus,2017,317078
Belarus,2018,700198
Belarus,2019,336697
Belarus,2020,532655
Belgium,2010,343980
Belgium,2011,228405
Belgium,2012,220400
Belgium,2013,228900
Belgium,2014,318400
Belgium,2015,284210
Belgium,2016,238244
Belgium,2017,86236
Belgium,2018,231300
Belgium,2019,241860
Belgium,2020,168030
Bhutan,2010,17366
Bhutan,2011,20752
Bhutan,2012,7666
Bhutan,2013,7830
Bhutan,2014,7994
Bhutan,2015,5308
Bhutan,2016,6587
Bhutan,2017,8039
Bhutan,2018,3684
Bhutan,2019,4321
Bhutan,2020,4056
Bolivia (Plurinational State of),2010,1989
Bolivia (Plurinational State of),2011,2014
Bolivia (Plurinational State of),2012,2025
Bolivia (Plurinational State of),2013,2057
Bolivia (Plurinational State of),2014,2419
Bolivia (Plurinational State of),2015,2522
Bolivia (Plurinational State of),2016,2578
Bolivia (Plurinational State of),2017,2751
Bolivia (Plurinational State of),2018,2805
Bolivia (Plurinational State of),2019,2931
Bolivia (Plurinational State of),2020,2750
Bosnia and Herzegovina,2010,71659
Bosnia and Herzegovina,2011,75334
Bosnia and Herzegovina,2012,50023
Bosnia and Herzegovina,2013,85117
Bosnia and Herzegovina,2014,44795
Bosnia and Herzegovina,2015,91471
Bosnia and Herzegovina,2016,69062
Bosnia and Herzegovina,2017,52252
Bosnia and Herzegovina,2018,112513
Bosnia and Herzegovina,2019,98265
Bosnia and Herzegovina,2020,109071
Brazil,2010,1279124
Brazil,2011,1338995
Brazil,2012,1339771
Brazil,2013,1231472
Brazil,2014,1378617
Brazil,2015,1264651
Brazil,2016,1055383
Brazil,2017,1307642
Brazil,2018,1203007
Brazil,2019,1222949
Brazil,2020,983247
Bulgaria,2010,43235
Bulgaria,2011,40413
Bulgaria,2012,30942
Bulgaria,2013,55013
Bulgaria,2014,54502
Bulgaria,2015,58419
Bulgaria,2016,44755
Bulgaria,2017,44927
Bulgaria,2018,50300
Bulgaria,2019,43620
Bulgaria,2020,37870
Canada,2010,371025
Canada,2011,420102
Canada,2012,282766
Canada,2013,427201
Canada,2014,409839
Canada,2015,348508
Canada,2016,417989
Canada,2017,402082
Canada,2018,399808
Canada,2019,380669
Canada,2020,385452
Chile,2010,1624242
Chile,2011,1588347
Chile,2012,1607415
Chile,2013,1716253
Chile,2014,1721893
Chile,2015,1710319
Chile,2016,1707557
Chile,2017,1741845
Chile,2018,1684343
Chile,2019,1602722
Chile,2020,1619575
China,2010,33265186
China,2011,35986667
China,2012,38492519
China,2013,39683908
China,2014,40924707
China,2015,38900319
China,2016,40394483
China,2017,41391451
China,2018,39235019
China,2019,42426578
China,2020,40501041
"China, mainland",2010,33263000
"China, mainland",2011,35985000
"China, mainland",2012,38491000
"China, mainland",2013,39682616
"China, mainland",2014,40923200
"China, mainland",2015,38899000
"China, mainland",2016,40393000
"China, mainland",2017,41390000
"China, mainland",2018,39233400
"China, mainland",2019,42425400
"China, mainland",2020,40500000
"China, Taiwan Province of",2010,2186
"China, Taiwan Province of",2011,1667
"China, Taiwan Province of",2012,1519
"China, Taiwan Province of",2013,1292
"China, Taiwan Province of",2014,1507
"China, Taiwan Province of",2015,1319
"China, Taiwan Province of",2016,1483
"China, Taiwan Province of",2017,1451
"China, Taiwan Province of",2018,1619
"China, Taiwan Province of",2019,1178
"China, Taiwan Province of",2020,1041
Colombia,2010,1638
Colombia,2011,1219
Colombia,2012,2190
Colombia,2013,2547
Colombia,2014,2247
Colombia,2015,2506
Colombia,2016,2259
Colombia,2017,3065
Colombia,2018,4734
Colombia,2019,5053
Colombia,2020,4884
Croatia,2010,89124
Croatia,2011,99676
Croatia,2012,37414
Croatia,2013,121738
Croatia,2014,96703
Croatia,2015,101752
Croatia,2016,44781
