Area,Latitude,Longitude,Year,Value_Tonnes
Afghanistan,33,65,2010,59850
Afghanistan,33,65,2011,62041
Afghanistan,33,65,2012,70000
Afghanistan,33,65,2013,78597
Afghanistan,33,65,2014,89403
Afghanistan,33,65,2015,89733
Afghanistan,33,65,2016,140903
Afghanistan,33,65,2017,170443
Afghanistan,33,65,2018,217192
Afghanistan,33,65,2019,250324
Afghanistan,33,65,2020,270857
Albania,41,20,2010,54604
Albania,41,20,2011,64000
Albania,41,20,2012,71300
Albania,41,20,2013,75730
Albania,41,20,2014,82060
Albania,41,20,2015,91736
Albania,41,20,2016,101532
Albania,41,20,2017,96338
Albania,41,20,2018,108375
Albania,41,20,2019,105933
Albania,41,20,2020,102167
Algeria,28,3,2010,378637
Algeria,28,3,2011,404105
Algeria,28,3,2012,397529
Algeria,28,3,2013,455937
Algeria,28,3,2014,462815
Algeria,28,3,2015,451472
Algeria,28,3,2016,500855
Algeria,28,3,2017,494239
Algeria,28,3,2018,487808
Algeria,28,3,2019,558830
Algeria,28,3,2020,566824
Argentina,-34,-64,2010,720000
Argentina,-34,-64,2011,1150000
Argentina,-34,-64,2012,1050000
Argentina,-34,-64,2013,970000
Argentina,-34,-64,2014,711052
Argentina,-34,-64,2015,693275
Argentina,-34,-64,2016,458908
Argentina,-34,-64,2017,458908
Argentina,-34,-64,2018,510478
Argentina,-34,-64,2019,537640
Argentina,-34,-64,2020,535797
Armenia,40,45,2010,56487
Armenia,40,45,2011,77602
Armenia,40,45,2012,110289
Armenia,40,45,2013,111946
Armenia,40,45,2014,132627
Armenia,40,45,2015,126995
Armenia,40,45,2016,62574
Armenia,40,45,2017,116051
Armenia,40,45,2018,109939
Armenia,40,45,2019,81674
Armenia,40,45,2020,84676
Australia,-27,133,2010,264401
Australia,-27,133,2011,299778
Australia,-27,133,2012,289064
Australia,-27,133,2013,288878
Australia,-27,133,2014,266771
Australia,-27,133,2015,295196
Australia,-27,133,2016,308298
Australia,-27,133,2017,313730
Australia,-27,133,2018,268355
Australia,-27,133,2019,265150
Australia,-27,133,2020,262966
Austria,47.33,13.33,2010,270805
Austria,47.33,13.33,2011,302810
Austria,47.33,13.33,2012,262108
Austria,47.33,13.33,2013,234585
Austria,47.33,13.33,2014,310339
Austria,47.33,13.33,2015,287599
Austria,47.33,13.33,2016,101667
Austria,47.33,13.33,2017,185244
Austria,47.33,13.33,2018,387950
Austria,47.33,13.33,2019,239210
Austria,47.33,13.33,2020,258220
Azerbaijan,40.5,47.5,2010,211665
Azerbaijan,40.5,47.5,2011,223067
Azerbaijan,40.5,47.5,2012,234771
Azerbaijan,40.5,47.5,2013,246685
Azerbaijan,40.5,47.5,2014,252327
Azerbaijan,40.5,47.5,2015,256398
Azerbaijan,40.5,47.5,2016,254296
Azerbaijan,40.5,47.5,2017,275093
Azerbaijan,40.5,47.5,2018,277158
Azerbaijan,40.5,47.5,2019,292736
Azerbaijan,40.5,47.5,2020,301411
Belarus,53,28,2010,525552
Belarus,53,28,2011,190829
Belarus,53,28,2012,511471
Belarus,53,28,2013,311495
Belarus,53,28,2014,512641
Belarus,53,28,2015,354817
Belarus,53,28,2016,508816
Belarus,53,28,2017,317078
Belarus,53,28,2018,700198
Belarus,53,28,2019,336697
