Area,Year,Value_Tonnes,Item
India,2010,29780000,Bananas
India,2011,28455100,Bananas
India,2012,26509000,Bananas
India,2013,27575000,Bananas
India,2014,29724550,Bananas
India,2015,29221000,Bananas
India,2016,29135000,Bananas
India,2017,30477000,Bananas
India,2018,30808000,Bananas
India,2019,30460000,Bananas
India,2020,31504000,Bananas
China,2010,33265186,Apples
China,2011,35986667,Apples
China,2012,38492519,Apples
China,2013,39683908,Apples
China,2014,40924707,Apples
China,2015,38900319,Apples
China,2016,40394483,Apples
China,2017,41391451,Apples
China,2018,39235019,Apples
China,2019,42426578,Apples
China,2020,40501041,Apples
Brazil,2010,18503139,Oranges
Brazil,2011,19811064,Oranges
Brazil,2012,18012560,Oranges
Brazil,2013,17549536,Oranges
Brazil,2014,16928457,Oranges
Brazil,2015,16953015,Oranges
Brazil,2016,16980379,Oranges
Brazil,2017,17492882,Oranges
Brazil,2018,16841549,Oranges
Brazil,2019,17090362,Oranges
Brazil,2020,16707897,Oranges
